"fc","b","sim","BM_AICc_exp","OU_AICc_exp","WN_exp","Static_exp","BM_wt","OU_wt","WN_wt"
1,100,1160,-176.370442864359,-174.244153201224,10.6689804317244,FALSE,0.74329106787485,0.256708932125151,1.80328427675151e-41
1,100,1161,-163.564367504644,-162.510149975737,1.54174645778818,FALSE,0.628808525105752,0.371191474894248,8.83448646792403e-37
1,100,1162,-126.748669848649,-125.386956767426,-6.53217566370114,FALSE,0.663929841574825,0.336070158425175,5.21725615555175e-27
1,100,1163,-165.668165001954,-163.541873208871,-4.15660081702906,FALSE,0.74329127108185,0.25670872891815,6.30040529921766e-36
1,100,1164,-116.488057896236,-114.361768240286,-17.5166583322071,FALSE,0.743291067189336,0.256708932810664,2.397687422257e-22
1,100,1165,-138.015033058654,-138.332172974261,-32.4646439873823,FALSE,0.4604403678705,0.5395596321295,5.53601966348866e-24
1,100,1166,-191.854337495887,-189.728032647925,40.4467017360667,FALSE,0.743292516576424,0.256707483423576,2.67688689122148e-51
1,100,1167,-78.8906619341976,-86.1947587425687,-16.4699327863286,FALSE,0.0252821753129291,0.97471782468707,7.0522114559804e-16
1,100,1168,-119.216501091981,-117.291720781047,-20.2959955797803,FALSE,0.723600098769305,0.276399901230695,2.39432870360766e-22
1,100,1169,-164.165814975811,-162.331239579438,-3.12556887932251,FALSE,0.71448913332407,0.28551086667593,7.66567682413228e-36
1,100,1170,-161.277355337941,-159.50413201208,-36.1248397168487,FALSE,0.708190444148325,0.291809555851675,4.71657339699858e-28
1,100,1171,-136.20292602376,-134.07663654733,5.54697338427911,FALSE,0.743291050062228,0.256708949937772,1.23185429448963e-31
1,100,1172,-93.54805995012,-93.3572119609006,-12.2384406847421,FALSE,0.523837912913042,0.476162087086958,1.15621191646378e-18
1,100,1173,-121.105264042064,-122.470662651835,-8.24180127056192,FALSE,0.335659112234926,0.664340887765074,1.04209880173552e-25
1,100,1174,-188.658804135346,-186.532514481697,11.6294435588388,FALSE,0.74329106696975,0.256708933030249,2.39396905085078e-44
1,100,1175,-139.364838582954,-138.199145696346,-13.3088557174253,FALSE,0.641722109569902,0.358277890430098,2.72043352264291e-28
1,100,1176,-171.021928303707,-168.932652276804,-22.8111435732525,FALSE,0.73974392203539,0.26025607796461,4.84750674512839e-33
1,100,1177,-191.869569579565,-189.74641434891,-57.2465065878569,FALSE,0.742991914193092,0.257008085806908,4.34467595450758e-30
1,100,1178,-136.42005108815,-134.597917244425,-31.362537706759,FALSE,0.71321843834115,0.28678156165885,1.09716865095644e-23
1,100,1179,-170.125998593194,-168.323185812245,-11.2464828149358,FALSE,0.711238430533745,0.288761569466255,2.24784685700693e-35
1,100,1180,-181.799855951622,-179.673561106955,-73.5736119732533,FALSE,0.743291562217136,0.256708437782864,2.34492482442764e-24
1,100,1181,-94.6406654405231,-92.6842681149041,1.98081129224001,FALSE,0.726750645483773,0.273249354516227,7.5909885610384e-22
1,100,1182,-217.636159498501,-215.509865770857,-43.2310034648906,FALSE,0.743291455647988,0.256708544352012,9.98988985911548e-39
1,100,1183,-160.367307628847,-158.241018853244,-14.2997929526208,FALSE,0.743290983199983,0.256709016800017,1.42233225814337e-32
1,100,1184,-107.74596339876,-108.011305096852,-30.3988981372385,FALSE,0.466880852532445,0.533119147467555,7.47315940493674e-18
1,100,1185,-114.259554735916,-112.601438641063,16.6656383575292,FALSE,0.696155722075181,0.303844277924819,2.58619903836213e-29
1,100,1186,-159.528856103725,-157.402566096581,5.93721997169808,FALSE,0.743291100694801,0.256708899305199,8.72282264226178e-37
1,100,1187,-125.19292000851,-123.392195484804,-18.0343319286007,FALSE,0.711023941857733,0.288976058142267,3.82553763532352e-24
1,100,1188,-138.553787624729,-136.976475620422,-23.7957951669015,FALSE,0.687542675357347,0.312457324642653,8.27786273106964e-26
1,100,1189,-139.829870736817,-137.79221765959,-34.5525978260002,FALSE,0.734743960397058,0.265256039602942,1.0126670456972e-23
1,100,1190,-195.409011894792,-193.293682737989,-6.40907566623383,FALSE,0.742243990303356,0.257756009696644,6.75665894860149e-42
1,100,1191,-139.565868071302,-137.473289477716,-26.4922348878455,FALSE,0.740061705935257,0.259938294064743,2.06842825809821e-25
1,100,1192,-183.504639146947,-181.614654825004,-15.1739255800217,FALSE,0.720106946824036,0.279893053175964,2.01765534421599e-37
1,100,1193,-116.23175350585,-116.444717165875,-22.1992606070413,FALSE,0.473404666749268,0.526595333250732,1.80441380896155e-21
1,100,1194,-166.629616184638,-165.153815697553,-30.4614533625258,FALSE,0.676536526773996,0.323463473226004,1.8270498088891e-30
1,100,1195,-175.046749038075,-173.004666544493,-25.1198504871743,FALSE,0.735175372089318,0.264824627910682,2.04257769583515e-33
1,100,1196,-67.3452127051875,-69.5139122861225,-0.514949901959525,FALSE,0.252683742135962,0.747316257864037,7.77266804374583e-16
1,100,1197,-135.727034316843,-133.600745680167,-14.7900062880964,FALSE,0.743290969945707,0.256709030054293,4.07396122685335e-27
1,100,1198,-111.748792698864,-109.887396657051,-31.8496078108329,FALSE,0.717216877341892,0.282783122658108,3.20451971624036e-18
1,100,1199,-183.045381171178,-181.503470124006,-44.35476360423,FALSE,0.683727556420631,0.316272443579369,5.23116156151408e-31
1,100,1200,-134.301416103217,-132.205090624482,-13.3224143779715,FALSE,0.740421938673228,0.259578061326772,3.97395404573999e-27
1,100,1201,-148.852342205592,-147.522623448744,-28.3420237042435,FALSE,0.660351134126756,0.339648865873244,4.48014179293292e-27
1,100,1202,-104.24897909325,-107.017021236518,-12.7102883393073,FALSE,0.200363974386785,0.799636025613215,2.65733005886379e-21
